State,"Number of 
Participating
Agencies","Population
Covered","Total 
Offenses",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism",Embezzlement,"Extortion/
Blackmail","Fraud 
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen 
Property 
Offenses"
New Mexico,104,"19,34,760","95,695",243,57,"9,888",755,"25,057",723,306,"8,176","37,112","10,382","1,346","1,650"
New York,194,"1,41,82,101","4,35,646","1,327",75,"21,062","13,427","87,144","1,768","1,528","9,432","2,39,639","25,563","17,638","17,043"
North Carolina,393,"1,05,43,278","3,31,271","1,331",13,"31,428","4,739","53,588","2,092","1,386","45,878","1,52,130","26,818","5,415","6,453"
North Dakota,107,"7,91,040","21,902",64,2,"2,145",602,"3,995",93,86,"2,694","10,018","1,451",219,533
Ohio,641,"1,11,18,870","2,74,453","1,028",19,"23,359","2,816","61,287",72,879,"20,176","1,30,594","24,225","5,329","4,669"
Oklahoma,471,"40,95,393","1,26,288",715,18,"16,437","2,041","18,489","1,531",662,"16,354","56,425","9,260","1,571","2,785"
Oregon,208,"42,19,895","1,49,876","1,169",9,"12,673","2,771","24,541",263,233,"14,623","77,765","12,378","2,420","1,031"
Pennsylvania,202,"66,18,568","1,96,622","1,138",10,"10,317","2,124","41,310","1,068",588,"24,149","89,028","19,482","5,429","1,979"
Rhode Island,48,"11,10,883","21,934",84,1,"1,050",653,"5,139",127,110,"3,615","9,248","1,314",249,344
South Carolina,447,"54,72,057","1,73,516",591,7,"15,062","3,438","30,718",710,565,"22,963","82,607","11,489","1,934","3,432"
South Dakota,101,"8,32,620","22,586",51,1,"1,575",451,"4,676",192,29,"1,965","11,485","1,680",211,270
Tennessee,395,"72,20,116","2,31,168",830,17,"17,708","4,377","40,751","1,618","1,025","27,788","1,06,444","24,312","4,256","2,042"
Texas,"1,531","3,10,98,882","9,43,860","2,759",146,"83,804","17,757","1,64,899","2,203","1,486","88,998","4,54,363","1,02,607","19,926","4,912"
Utah,139,"34,39,646","89,528",244,9,"4,966","1,448","20,598",67,628,"13,646","41,271","4,170",990,"1,491"
Vermont,87,"6,48,493","15,188",46,0,859,196,"2,620",53,19,"1,179","9,461",405,92,258
Virginia,413,"88,09,350","2,36,832",599,36,"9,391","4,411","44,867","1,585","1,557","38,745","1,18,048","12,598","2,940","2,055"
Washington,256,"79,20,519","3,10,384","1,097",13,"31,036","3,224","66,070",208,"1,216","23,159","1,38,617","34,390","5,387","5,967"
West Virginia,286,"16,55,249","27,742",173,2,"2,815",602,"4,780",147,39,"2,412","14,735","1,312",169,556
Wisconsin,398,"58,47,605","1,12,915",353,10,"6,387","1,904","23,093",714,441,"14,914","51,950","9,534","2,362","1,253"
Wyoming,55,"5,33,081","11,595",39,0,923,285,"2,373",33,133,"1,689","5,471",573,42,34
