State,Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society","Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism
of Property","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud","Imper-
sonation","Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Por-
nography/
Obscene
Material","Pros-
titution
Offenses","Pros-
titution","Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
UTAH,City,Mantua,"1,377",53,7,2,44,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,41,22,19,0,0,0,0,0,0,0,0,0,0,3
UTAH,City,Mapleton,"14,584",223,85,106,32,74,10,52,12,0,0,0,0,0,0,0,6,5,2,0,0,3,0,0,2,0,5,0,30,0,1,23,22,1,0,0,0,0,0,43,0,0,5,2,0,5,0,31,2,0,0,0,30,17,13,0,0,0,0,0,0,0,0,0,0,2
UTAH,City,Moab,"5,175",406,174,138,94,156,28,92,36,0,0,0,0,2,0,2,5,11,9,2,0,0,0,0,1,0,9,3,57,0,1,14,14,0,0,0,0,0,0,48,0,0,7,0,0,2,0,39,4,0,1,3,79,48,31,0,0,0,0,0,2,0,0,0,0,10
UTAH,City,Mount Pleasant,"3,942",88,24,37,27,21,8,13,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,3,2,11,0,0,8,6,0,0,0,1,1,0,10,0,0,1,0,0,0,0,9,2,1,0,0,23,12,11,0,0,0,0,0,2,0,0,0,0,2
UTAH,City,Murray,"49,238","4,061",815,"2,846",400,702,60,220,422,5,5,0,0,0,0,0,23,85,27,3,0,54,0,1,13,0,146,38,541,0,7,525,288,148,33,0,56,0,0,"1,283",1,3,331,13,1,347,54,533,217,42,34,0,318,160,158,0,0,0,0,0,5,4,1,3,0,73
UTAH,City,Naples,"2,529",224,31,58,135,21,2,9,10,2,0,2,0,0,0,0,1,7,1,0,0,6,0,0,0,0,5,0,15,0,1,14,14,0,0,0,0,0,0,20,0,0,1,0,0,8,0,11,3,0,0,0,131,65,66,0,0,0,0,0,0,0,0,0,0,4
UTAH,City,Nephi,"7,353",310,90,116,104,67,5,44,18,0,0,0,0,0,0,0,3,20,1,1,2,16,0,0,0,0,9,3,31,0,0,21,21,0,0,0,0,0,0,46,0,0,11,2,0,3,0,30,3,1,2,0,95,61,34,0,0,0,0,0,0,0,0,0,0,9
UTAH,City,North Ogden,"22,645",578,155,300,123,125,12,108,5,0,0,0,0,0,0,0,9,21,5,0,0,16,0,0,1,1,31,2,100,0,4,73,34,13,4,2,2,18,0,75,0,0,11,4,0,10,0,50,8,2,3,2,109,63,46,0,0,0,0,0,4,1,1,0,0,7
UTAH,City,North Park,"17,789",350,133,142,75,104,10,79,15,0,0,0,0,0,0,0,7,22,4,0,0,18,0,0,0,0,10,2,3,0,0,31,29,0,0,0,0,1,1,89,0,0,20,0,0,15,0,54,7,0,0,0,63,41,22,0,0,0,0,0,1,1,1,0,0,10
UTAH,City,North Salt Lake,"23,720",750,164,479,107,150,6,122,22,0,0,0,0,1,0,1,3,10,2,0,0,8,0,0,3,0,32,7,148,0,1,80,35,22,3,0,13,7,0,175,0,0,32,8,1,53,10,71,29,1,3,1,87,43,44,0,0,0,0,0,6,0,0,0,0,13
UTAH,City,Ogden,"87,258","7,292","2,018","3,219","2,055","1,707",296,"1,348",63,3,2,0,1,1,1,0,106,201,81,17,5,91,1,6,10,1,214,63,934,2,15,379,132,132,13,1,37,64,0,"1,339",6,16,390,182,1,193,28,523,179,47,36,12,"1,828",856,972,0,0,0,0,0,36,2,2,0,0,177
UTAH,City,Orem,"94,571","4,453","1,170","2,373",910,824,88,596,140,1,1,0,0,1,1,0,59,285,44,9,5,227,0,0,0,0,99,68,552,0,55,316,250,27,3,0,0,36,0,"1,116",1,0,485,118,0,169,41,302,88,25,54,0,763,398,365,0,0,0,0,0,13,2,2,0,0,132
UTAH,City,Park City,"8,201",503,165,277,61,138,10,94,34,1,1,0,0,0,0,0,1,25,22,0,1,2,0,0,0,0,6,0,56,0,0,57,44,3,6,0,4,0,0,152,0,0,15,0,0,18,0,119,5,0,1,0,55,37,18,0,0,0,0,0,3,0,0,0,0,3
UTAH,City,Payson,"25,051",809,190,345,274,143,18,106,19,0,0,0,0,0,0,0,9,38,13,1,2,22,0,0,1,0,14,2,106,0,4,52,47,4,0,0,0,1,0,153,2,2,29,0,0,15,3,102,10,0,3,0,246,132,114,0,0,0,0,0,8,0,0,0,0,20
UTAH,City,Perry,"6,057",269,111,125,33,94,6,50,38,0,0,0,0,4,0,4,0,13,9,2,0,2,0,0,1,0,6,0,21,0,0,29,23,3,1,0,1,1,0,67,0,0,35,0,0,6,0,26,0,1,0,2,21,16,5,0,0,0,0,0,0,5,5,0,0,5
UTAH,City,Pleasant Grove,"37,148","1,206",336,664,206,254,37,150,67,0,0,0,0,0,0,0,16,66,23,14,3,26,0,0,1,0,44,22,184,0,13,155,93,31,4,0,5,22,0,205,3,0,33,17,0,45,11,96,22,3,15,0,155,92,63,0,0,0,0,0,21,3,3,0,0,27
UTAH,City,Pleasant View,"11,326",223,79,94,50,62,7,46,9,0,0,0,0,0,0,0,8,9,0,1,0,7,0,1,0,0,8,1,38,0,0,15,6,7,1,0,1,0,0,26,0,0,0,6,0,10,0,10,3,1,2,1,38,25,13,0,0,0,0,0,4,0,0,0,0,7
UTAH,City,Price,"8,271",295,82,131,82,67,4,56,7,4,4,0,0,0,0,0,3,8,1,1,0,6,0,0,0,0,9,2,27,0,0,6,4,2,0,0,0,0,0,79,0,0,39,0,1,2,0,37,8,0,0,0,73,50,23,0,0,0,0,0,4,0,0,0,0,5
